run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,1251.1,33,26.4,
1,json_simple_product,json_generation,easy,True,True,944.1,34,36.0,
1,json_nested_address,json_generation,medium,True,True,1432.1,51,35.6,
1,json_array_orders,json_generation,medium,True,True,2649.2,93,35.1,
1,json_complex_api,json_generation,hard,True,True,5072.8,179,35.3,
1,schema_weather,schema_adherence,easy,True,True,872.7,31,35.5,
1,schema_database_record,schema_adherence,medium,True,True,1646.7,59,35.8,
1,schema_config_file,schema_adherence,hard,True,True,4666.2,165,35.4,
1,funcall_get_weather,function_calling,easy,True,True,505.3,18,35.6,
1,funcall_search_multi,function_calling,medium,True,True,2447.1,87,35.6,
1,funcall_database_query,function_calling,hard,True,True,1325.3,47,35.5,
1,extract_business_card,extraction,easy,True,True,1705.2,61,35.8,
1,extract_receipt,extraction,medium,True,True,4982.1,177,35.5,
1,extract_api_log,extraction,hard,True,True,4015.4,143,35.6,
