model,phase,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
microsoft/Phi-4-mini-instruct,2,0.0,1,json_simple_person,json_generation,easy,True,True,1698.6,42,24.7,
microsoft/Phi-4-mini-instruct,2,0.0,2,json_simple_person,json_generation,easy,True,True,1183.5,42,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,3,json_simple_person,json_generation,easy,True,True,1181.9,42,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,1,json_simple_product,json_generation,easy,True,True,1129.8,40,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,2,json_simple_product,json_generation,easy,True,True,1127.1,40,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,3,json_simple_product,json_generation,easy,True,True,1124.3,40,35.6,
microsoft/Phi-4-mini-instruct,2,0.0,1,json_nested_address,json_generation,medium,True,True,1778.7,63,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,2,json_nested_address,json_generation,medium,True,True,1754.5,63,35.9,
microsoft/Phi-4-mini-instruct,2,0.0,3,json_nested_address,json_generation,medium,True,True,1748.6,63,36.0,
microsoft/Phi-4-mini-instruct,2,0.0,1,json_array_orders,json_generation,medium,True,True,3914.1,140,35.8,
microsoft/Phi-4-mini-instruct,2,0.0,2,json_array_orders,json_generation,medium,True,True,3974.2,140,35.2,
microsoft/Phi-4-mini-instruct,2,0.0,3,json_array_orders,json_generation,medium,True,True,3992.7,140,35.1,
microsoft/Phi-4-mini-instruct,2,0.0,1,json_complex_api,json_generation,hard,True,True,5117.8,179,35.0,
microsoft/Phi-4-mini-instruct,2,0.0,2,json_complex_api,json_generation,hard,True,True,5074.2,179,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,3,json_complex_api,json_generation,hard,True,True,5036.0,179,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,1,schema_weather,schema_adherence,easy,True,True,1447.2,51,35.2,
microsoft/Phi-4-mini-instruct,2,0.0,2,schema_weather,schema_adherence,easy,True,True,1442.1,51,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,3,schema_weather,schema_adherence,easy,True,True,1444.8,51,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,1,schema_database_record,schema_adherence,medium,True,True,2141.8,76,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,2,schema_database_record,schema_adherence,medium,True,True,2145.9,76,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,3,schema_database_record,schema_adherence,medium,True,True,2145.5,76,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,1,schema_config_file,schema_adherence,hard,True,True,4162.3,147,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,2,schema_config_file,schema_adherence,hard,True,True,4154.6,147,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,3,schema_config_file,schema_adherence,hard,True,True,4153.8,147,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,1,funcall_get_weather,function_calling,easy,True,True,852.9,30,35.2,
microsoft/Phi-4-mini-instruct,2,0.0,2,funcall_get_weather,function_calling,easy,True,True,852.8,30,35.2,
microsoft/Phi-4-mini-instruct,2,0.0,3,funcall_get_weather,function_calling,easy,True,True,852.4,30,35.2,
microsoft/Phi-4-mini-instruct,2,0.0,1,funcall_search_multi,function_calling,medium,True,True,2099.4,74,35.2,
microsoft/Phi-4-mini-instruct,2,0.0,2,funcall_search_multi,function_calling,medium,True,True,2099.0,74,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,3,funcall_search_multi,function_calling,medium,True,True,2097.9,74,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,1,funcall_database_query,function_calling,hard,True,True,2153.5,76,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,2,funcall_database_query,function_calling,hard,True,True,2149.3,76,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,3,funcall_database_query,function_calling,hard,True,True,2151.1,76,35.3,
microsoft/Phi-4-mini-instruct,2,0.0,1,extract_business_card,extraction,easy,True,True,1660.6,59,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,2,extract_business_card,extraction,easy,True,True,1660.9,59,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,3,extract_business_card,extraction,easy,True,True,1668.4,59,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,1,extract_receipt,extraction,medium,True,False,4648.2,164,35.3,"Schema validation: '$20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'t"
microsoft/Phi-4-mini-instruct,2,0.0,2,extract_receipt,extraction,medium,True,False,4628.2,164,35.4,"Schema validation: '$20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'t"
microsoft/Phi-4-mini-instruct,2,0.0,3,extract_receipt,extraction,medium,True,False,4629.2,164,35.4,"Schema validation: '$20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'t"
microsoft/Phi-4-mini-instruct,2,0.0,1,extract_api_log,extraction,hard,True,True,3667.0,130,35.5,
microsoft/Phi-4-mini-instruct,2,0.0,2,extract_api_log,extraction,hard,True,True,3669.2,130,35.4,
microsoft/Phi-4-mini-instruct,2,0.0,3,extract_api_log,extraction,hard,True,True,3676.1,130,35.4,
microsoft/Phi-4-mini-instruct,2,0.3,1,json_simple_person,json_generation,easy,True,True,1240.3,41,33.1,
microsoft/Phi-4-mini-instruct,2,0.3,2,json_simple_person,json_generation,easy,True,True,1185.7,42,35.4,
microsoft/Phi-4-mini-instruct,2,0.3,3,json_simple_person,json_generation,easy,True,True,1185.0,42,35.4,
microsoft/Phi-4-mini-instruct,2,0.3,1,json_simple_product,json_generation,easy,True,True,1131.4,40,35.4,
microsoft/Phi-4-mini-instruct,2,0.3,2,json_simple_product,json_generation,easy,True,True,1129.3,40,35.4,
microsoft/Phi-4-mini-instruct,2,0.3,3,json_simple_product,json_generation,easy,True,True,1158.6,41,35.4,
microsoft/Phi-4-mini-instruct,2,0.3,1,json_nested_address,json_generation,medium,True,True,1787.8,63,35.2,
microsoft/Phi-4-mini-instruct,2,0.3,2,json_nested_address,json_generation,medium,True,True,1755.4,62,35.3,
