model,phase,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,json_simple_person,json_generation,easy,True,True,1224.0,25,20.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,json_simple_person,json_generation,easy,True,True,642.6,25,38.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,json_simple_person,json_generation,easy,True,True,636.7,25,39.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,json_simple_product,json_generation,easy,True,True,737.7,30,40.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,json_simple_product,json_generation,easy,True,True,738.5,30,40.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,json_simple_product,json_generation,easy,True,True,777.1,30,38.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,json_nested_address,json_generation,medium,True,True,1144.0,45,39.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,json_nested_address,json_generation,medium,True,True,1144.7,45,39.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,json_nested_address,json_generation,medium,True,True,1141.5,45,39.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,json_array_orders,json_generation,medium,True,True,4036.4,161,39.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,json_array_orders,json_generation,medium,True,True,4071.1,161,39.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,json_array_orders,json_generation,medium,True,True,4027.8,161,40.0,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,json_complex_api,json_generation,hard,True,True,4470.0,177,39.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,json_complex_api,json_generation,hard,True,True,4573.5,177,38.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,json_complex_api,json_generation,hard,True,True,4508.6,177,39.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,schema_weather,schema_adherence,easy,True,True,680.9,27,39.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,schema_weather,schema_adherence,easy,True,True,708.4,27,38.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,schema_weather,schema_adherence,easy,True,True,724.1,27,37.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,schema_database_record,schema_adherence,medium,True,False,1398.8,53,37.9,"Schema validation: '4a3b4c5d6e7f8' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' in schema['properties']["
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,schema_database_record,schema_adherence,medium,True,False,1320.5,53,40.1,"Schema validation: '4a3b4c5d6e7f8' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' in schema['properties']["
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,schema_database_record,schema_adherence,medium,True,False,1362.5,53,38.9,"Schema validation: '4a3b4c5d6e7f8' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' in schema['properties']["
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,schema_config_file,schema_adherence,hard,True,False,1970.7,78,39.6,"Schema validation: Additional properties are not allowed ('type' was unexpected)

Failed validating 'additionalProperti"
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,schema_config_file,schema_adherence,hard,True,False,1982.5,78,39.3,"Schema validation: Additional properties are not allowed ('type' was unexpected)

Failed validating 'additionalProperti"
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,schema_config_file,schema_adherence,hard,True,False,1924.2,78,40.5,"Schema validation: Additional properties are not allowed ('type' was unexpected)

Failed validating 'additionalProperti"
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,funcall_get_weather,function_calling,easy,True,True,631.0,25,39.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,funcall_get_weather,function_calling,easy,True,True,621.9,25,40.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,funcall_get_weather,function_calling,easy,True,True,612.1,25,40.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,funcall_search_multi,function_calling,medium,False,False,1656.6,67,40.4,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,funcall_search_multi,function_calling,medium,False,False,1665.1,67,40.2,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,funcall_search_multi,function_calling,medium,False,False,1649.7,67,40.6,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,funcall_database_query,function_calling,hard,True,True,1038.9,42,40.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,funcall_database_query,function_calling,hard,True,True,1030.8,42,40.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,funcall_database_query,function_calling,hard,True,True,1049.3,42,40.0,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,extract_business_card,extraction,easy,True,True,1215.4,48,39.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,extract_business_card,extraction,easy,True,True,1251.9,48,38.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,extract_business_card,extraction,easy,True,True,1253.5,48,38.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,extract_receipt,extraction,medium,True,True,3225.7,128,39.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,extract_receipt,extraction,medium,True,True,3209.8,128,39.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,extract_receipt,extraction,medium,True,True,3271.7,128,39.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,1,extract_api_log,extraction,hard,True,True,2282.9,91,39.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,2,extract_api_log,extraction,hard,True,True,2271.0,91,40.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.0,3,extract_api_log,extraction,hard,True,True,2287.0,91,39.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,json_simple_person,json_generation,easy,True,True,925.3,32,34.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,json_simple_person,json_generation,easy,True,True,825.5,32,38.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,json_simple_person,json_generation,easy,True,True,818.0,32,39.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,json_simple_product,json_generation,easy,True,True,754.8,30,39.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,json_simple_product,json_generation,easy,True,True,747.9,30,40.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,json_simple_product,json_generation,easy,True,True,753.4,30,39.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,json_nested_address,json_generation,medium,True,True,861.5,33,38.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,json_nested_address,json_generation,medium,True,True,1175.3,45,38.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,json_nested_address,json_generation,medium,True,True,839.5,33,39.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,json_array_orders,json_generation,medium,True,True,4073.6,161,39.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,json_array_orders,json_generation,medium,True,True,3796.5,154,40.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,json_array_orders,json_generation,medium,True,True,3836.1,151,39.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,json_complex_api,json_generation,hard,True,True,4605.7,177,38.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,json_complex_api,json_generation,hard,True,True,4511.4,177,39.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,json_complex_api,json_generation,hard,True,False,3427.2,132,38.5,"Schema validation: [{'id': 1, 'name': 'John Doe', 'email': 'john.doe@example.com', 'role': 'admin'}, {'id': 2, 'name': "
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,schema_weather,schema_adherence,easy,True,True,703.5,27,38.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,schema_weather,schema_adherence,easy,True,True,713.8,27,37.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,schema_weather,schema_adherence,easy,True,True,719.8,27,37.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,schema_database_record,schema_adherence,medium,True,False,2019.2,76,37.6,"Schema validation: '4d7f4e4a-3c6d-4d7f-8c6f-3a4f7a8d2f1a' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' i"
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,schema_database_record,schema_adherence,medium,True,False,1268.7,49,38.6,"Schema validation: '4c7d4e3f2' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' in schema['properties']['id'"
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,schema_database_record,schema_adherence,medium,True,False,1440.5,57,39.6,"Schema validation: '4a5b6c7d8e9f' does not match '^[a-f0-9]{8}$'

Failed validating 'pattern' in schema['properties']['"
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,schema_config_file,schema_adherence,hard,True,False,1971.0,78,39.6,"Schema validation: Additional properties are not allowed ('type' was unexpected)

Failed validating 'additionalProperti"
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,schema_config_file,schema_adherence,hard,True,False,1989.2,78,39.2,"Schema validation: Additional properties are not allowed ('type' was unexpected)

Failed validating 'additionalProperti"
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,schema_config_file,schema_adherence,hard,True,False,1971.3,79,40.1,"Schema validation: Additional properties are not allowed ('type' was unexpected)

Failed validating 'additionalProperti"
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,funcall_get_weather,function_calling,easy,True,True,620.0,25,40.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,funcall_get_weather,function_calling,easy,True,True,630.0,25,39.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,funcall_get_weather,function_calling,easy,True,True,643.3,25,38.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,funcall_search_multi,function_calling,medium,False,False,1766.3,71,40.2,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,funcall_search_multi,function_calling,medium,False,False,1666.6,67,40.2,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,funcall_search_multi,function_calling,medium,False,False,1645.0,64,38.9,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,funcall_database_query,function_calling,hard,True,True,1123.4,42,37.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,funcall_database_query,function_calling,hard,True,True,1109.9,42,37.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,funcall_database_query,function_calling,hard,True,True,1083.4,42,38.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,extract_business_card,extraction,easy,True,True,1270.3,48,37.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,extract_business_card,extraction,easy,True,True,1234.3,48,38.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,extract_business_card,extraction,easy,True,True,1228.1,48,39.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,extract_receipt,extraction,medium,True,True,3290.2,128,38.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,extract_receipt,extraction,medium,True,True,3279.3,128,39.0,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,extract_receipt,extraction,medium,True,True,3352.5,128,38.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,1,extract_api_log,extraction,hard,True,True,2339.5,91,38.9,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,2,extract_api_log,extraction,hard,True,True,2327.0,91,39.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.3,3,extract_api_log,extraction,hard,True,True,2380.4,91,38.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,json_simple_person,json_generation,easy,True,True,654.6,25,38.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,json_simple_person,json_generation,easy,True,True,662.8,25,37.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,json_simple_person,json_generation,easy,True,True,1013.5,38,37.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,json_simple_product,json_generation,easy,True,True,793.8,30,37.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,json_simple_product,json_generation,easy,True,True,779.6,30,38.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,json_simple_product,json_generation,easy,True,True,801.4,30,37.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,json_nested_address,json_generation,medium,True,True,843.3,33,39.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,json_nested_address,json_generation,medium,True,True,1103.2,45,40.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,json_nested_address,json_generation,medium,True,True,1152.1,45,39.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,json_array_orders,json_generation,medium,True,True,3413.9,139,40.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,json_array_orders,json_generation,medium,True,True,3588.8,145,40.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,json_array_orders,json_generation,medium,True,True,3562.7,146,41.0,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,json_complex_api,json_generation,hard,True,True,4446.6,177,39.8,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,json_complex_api,json_generation,hard,True,False,3299.6,129,39.1,"Schema validation: [{'id': 1, 'name': 'John Doe', 'email': 'john@example.com', 'role': 'admin'}, {'id': 2, 'name': 'Jan"
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,json_complex_api,json_generation,hard,True,True,4490.5,177,39.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,schema_weather,schema_adherence,easy,True,True,632.6,26,41.1,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,schema_weather,schema_adherence,easy,True,True,679.1,28,41.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,schema_weather,schema_adherence,easy,True,True,627.8,26,41.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,schema_database_record,schema_adherence,medium,True,True,1133.6,47,41.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,schema_database_record,schema_adherence,medium,True,False,1174.6,48,40.9,"Schema validation: ['loyal', 'new_customer', 'database_test'] is not of type 'object'

Failed validating 'type' in sche"
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,schema_database_record,schema_adherence,medium,True,True,1298.8,52,40.0,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,schema_config_file,schema_adherence,hard,False,False,1764.0,67,38.0,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,schema_config_file,schema_adherence,hard,False,False,5502.7,210,38.2,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,schema_config_file,schema_adherence,hard,True,True,3190.9,120,37.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,funcall_get_weather,function_calling,easy,True,True,682.5,25,36.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,funcall_get_weather,function_calling,easy,True,True,482.2,18,37.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,funcall_get_weather,function_calling,easy,True,True,476.9,18,37.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,funcall_search_multi,function_calling,medium,False,False,1672.4,64,38.3,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,funcall_search_multi,function_calling,medium,False,False,1762.8,69,39.1,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,funcall_search_multi,function_calling,medium,False,False,1773.0,72,40.6,Could not extract valid JSON
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,funcall_database_query,function_calling,hard,True,True,1281.2,52,40.6,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,funcall_database_query,function_calling,hard,True,True,839.1,34,40.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,funcall_database_query,function_calling,hard,True,True,1325.6,52,39.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,extract_business_card,extraction,easy,True,True,1239.6,48,38.7,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,extract_business_card,extraction,easy,True,True,1219.8,48,39.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,extract_business_card,extraction,easy,True,True,1248.1,48,38.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,extract_receipt,extraction,medium,True,True,3322.3,128,38.5,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,extract_receipt,extraction,medium,True,True,3349.4,128,38.2,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,extract_receipt,extraction,medium,True,True,3458.8,128,37.0,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,1,extract_api_log,extraction,hard,True,True,2440.6,91,37.3,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,2,extract_api_log,extraction,hard,True,True,2367.5,91,38.4,
meta-llama/Llama-3.2-3B-Instruct,2,0.7,3,extract_api_log,extraction,hard,True,True,2385.1,92,38.6,
