model,decoder,task_id,category,schema_valid,content_accuracy_corrected,content_accuracy_original
Llama-1B,native,json_simple_person,json_generation,True,1.0,1.0
Llama-1B,native,json_simple_product,json_generation,True,1.0,1.0
Llama-1B,native,json_nested_address,json_generation,True,1.0,1.0
Llama-1B,native,json_array_orders,json_generation,True,1.0,1.0
Llama-1B,native,json_complex_api,json_generation,False,0.0,0.0
Llama-1B,native,schema_weather,schema_adherence,True,1.0,1.0
Llama-1B,native,schema_database_record,schema_adherence,False,0.0,0.0
Llama-1B,native,schema_config_file,schema_adherence,True,1.0,1.0
Llama-1B,native,funcall_get_weather,function_calling,True,1.0,1.0
Llama-1B,native,funcall_search_multi,function_calling,False,0.0,0.0
Llama-1B,native,funcall_database_query,function_calling,True,1.0,1.0
Llama-1B,native,extract_business_card,extraction,True,0.8,0.7
Llama-1B,native,extract_receipt,extraction,True,1.0,1.0
Llama-1B,native,extract_api_log,extraction,True,1.0,1.0
Llama-1B,outlines,json_simple_person,json_generation,True,1.0,1.0
Llama-1B,outlines,json_simple_product,json_generation,True,1.0,1.0
Llama-1B,outlines,json_nested_address,json_generation,True,1.0,1.0
Llama-1B,outlines,json_array_orders,json_generation,True,1.0,1.0
Llama-1B,outlines,json_complex_api,json_generation,True,1.0,1.0
Llama-1B,outlines,schema_weather,schema_adherence,True,1.0,1.0
Llama-1B,outlines,schema_database_record,schema_adherence,True,1.0,1.0
Llama-1B,outlines,schema_config_file,schema_adherence,True,1.0,1.0
Llama-1B,outlines,funcall_get_weather,function_calling,True,1.0,1.0
Llama-1B,outlines,funcall_search_multi,function_calling,True,0.2,0.2
Llama-1B,outlines,funcall_database_query,function_calling,True,1.0,1.0
Llama-1B,outlines,extract_business_card,extraction,True,0.8,0.7
Llama-1B,outlines,extract_receipt,extraction,True,1.0,1.0
Llama-1B,outlines,extract_api_log,extraction,True,1.0,1.0
Llama-1B,xgrammar,json_simple_person,json_generation,True,1.0,1.0
Llama-1B,xgrammar,json_simple_product,json_generation,True,1.0,1.0
Llama-1B,xgrammar,json_nested_address,json_generation,True,1.0,1.0
Llama-1B,xgrammar,json_array_orders,json_generation,True,1.0,1.0
Llama-1B,xgrammar,json_complex_api,json_generation,True,1.0,1.0
Llama-1B,xgrammar,schema_weather,schema_adherence,True,1.0,1.0
Llama-1B,xgrammar,schema_database_record,schema_adherence,True,1.0,1.0
Llama-1B,xgrammar,schema_config_file,schema_adherence,True,1.0,1.0
Llama-1B,xgrammar,funcall_get_weather,function_calling,True,1.0,1.0
Llama-1B,xgrammar,funcall_search_multi,function_calling,True,1.0,1.0
Llama-1B,xgrammar,funcall_database_query,function_calling,True,1.0,1.0
Llama-1B,xgrammar,extract_business_card,extraction,True,0.8,0.7
Llama-1B,xgrammar,extract_receipt,extraction,True,1.0,1.0
Llama-1B,xgrammar,extract_api_log,extraction,True,1.0,1.0
Llama-3B,native,json_simple_person,json_generation,True,1.0,1.0
Llama-3B,native,json_simple_product,json_generation,True,1.0,1.0
Llama-3B,native,json_nested_address,json_generation,True,1.0,1.0
Llama-3B,native,json_array_orders,json_generation,True,1.0,1.0
Llama-3B,native,json_complex_api,json_generation,True,1.0,1.0
Llama-3B,native,schema_weather,schema_adherence,True,1.0,1.0
Llama-3B,native,schema_database_record,schema_adherence,False,0.0,0.0
Llama-3B,native,schema_config_file,schema_adherence,False,0.0,0.0
Llama-3B,native,funcall_get_weather,function_calling,True,1.0,1.0
Llama-3B,native,funcall_search_multi,function_calling,False,0.0,0.0
Llama-3B,native,funcall_database_query,function_calling,True,0.875,0.875
Llama-3B,native,extract_business_card,extraction,True,1.0,0.9
Llama-3B,native,extract_receipt,extraction,True,1.0,1.0
Llama-3B,native,extract_api_log,extraction,True,1.0,1.0
Llama-3B,outlines,json_simple_person,json_generation,True,1.0,1.0
Llama-3B,outlines,json_simple_product,json_generation,True,1.0,1.0
Llama-3B,outlines,json_nested_address,json_generation,True,1.0,1.0
Llama-3B,outlines,json_array_orders,json_generation,True,1.0,1.0
Llama-3B,outlines,json_complex_api,json_generation,True,1.0,1.0
Llama-3B,outlines,schema_weather,schema_adherence,True,1.0,1.0
Llama-3B,outlines,schema_database_record,schema_adherence,True,1.0,1.0
Llama-3B,outlines,schema_config_file,schema_adherence,True,1.0,1.0
Llama-3B,outlines,funcall_get_weather,function_calling,True,1.0,1.0
Llama-3B,outlines,funcall_search_multi,function_calling,True,1.0,1.0
Llama-3B,outlines,funcall_database_query,function_calling,True,0.875,0.875
Llama-3B,outlines,extract_business_card,extraction,True,1.0,1.0
Llama-3B,outlines,extract_receipt,extraction,True,1.0,1.0
Llama-3B,outlines,extract_api_log,extraction,True,1.0,1.0
Llama-3B,xgrammar,json_simple_person,json_generation,True,1.0,1.0
Llama-3B,xgrammar,json_simple_product,json_generation,True,1.0,1.0
Llama-3B,xgrammar,json_nested_address,json_generation,True,1.0,1.0
Llama-3B,xgrammar,json_array_orders,json_generation,True,1.0,1.0
Llama-3B,xgrammar,json_complex_api,json_generation,True,1.0,1.0
Llama-3B,xgrammar,schema_weather,schema_adherence,True,1.0,1.0
Llama-3B,xgrammar,schema_database_record,schema_adherence,True,1.0,1.0
Llama-3B,xgrammar,schema_config_file,schema_adherence,True,1.0,1.0
Llama-3B,xgrammar,funcall_get_weather,function_calling,True,1.0,1.0
Llama-3B,xgrammar,funcall_search_multi,function_calling,True,1.0,1.0
Llama-3B,xgrammar,funcall_database_query,function_calling,True,0.875,0.875
Llama-3B,xgrammar,extract_business_card,extraction,True,1.0,0.9
Llama-3B,xgrammar,extract_receipt,extraction,True,1.0,1.0
Llama-3B,xgrammar,extract_api_log,extraction,True,1.0,1.0
Qwen-0.6B,native,json_simple_person,json_generation,True,1.0,1.0
Qwen-0.6B,native,json_simple_product,json_generation,True,1.0,1.0
Qwen-0.6B,native,json_nested_address,json_generation,True,1.0,1.0
Qwen-0.6B,native,json_array_orders,json_generation,True,1.0,1.0
Qwen-0.6B,native,json_complex_api,json_generation,True,1.0,1.0
Qwen-0.6B,native,schema_weather,schema_adherence,True,1.0,1.0
Qwen-0.6B,native,schema_database_record,schema_adherence,True,1.0,1.0
Qwen-0.6B,native,schema_config_file,schema_adherence,True,1.0,1.0
Qwen-0.6B,native,funcall_get_weather,function_calling,True,1.0,1.0
Qwen-0.6B,native,funcall_search_multi,function_calling,True,0.2,0.2
Qwen-0.6B,native,funcall_database_query,function_calling,True,1.0,1.0
Qwen-0.6B,native,extract_business_card,extraction,True,1.0,0.9
Qwen-0.6B,native,extract_receipt,extraction,False,0.0,0.417
Qwen-0.6B,native,extract_api_log,extraction,True,1.0,1.0
Qwen-0.6B,outlines,json_simple_person,json_generation,True,1.0,1.0
Qwen-0.6B,outlines,json_simple_product,json_generation,True,1.0,1.0
Qwen-0.6B,outlines,json_nested_address,json_generation,True,1.0,1.0
Qwen-0.6B,outlines,json_array_orders,json_generation,True,1.0,1.0
Qwen-0.6B,outlines,json_complex_api,json_generation,True,1.0,1.0
Qwen-0.6B,outlines,schema_weather,schema_adherence,True,1.0,1.0
Qwen-0.6B,outlines,schema_database_record,schema_adherence,True,1.0,1.0
Qwen-0.6B,outlines,schema_config_file,schema_adherence,True,1.0,1.0
Qwen-0.6B,outlines,funcall_get_weather,function_calling,True,1.0,1.0
Qwen-0.6B,outlines,funcall_search_multi,function_calling,True,0.2,0.2
Qwen-0.6B,outlines,funcall_database_query,function_calling,True,1.0,1.0
Qwen-0.6B,outlines,extract_business_card,extraction,True,0.8,0.7
Qwen-0.6B,outlines,extract_receipt,extraction,True,1.0,1.0
Qwen-0.6B,outlines,extract_api_log,extraction,True,1.0,1.0
Qwen-0.6B,xgrammar,json_simple_person,json_generation,True,1.0,1.0
Qwen-0.6B,xgrammar,json_simple_product,json_generation,True,1.0,1.0
Qwen-0.6B,xgrammar,json_nested_address,json_generation,True,1.0,1.0
Qwen-0.6B,xgrammar,json_array_orders,json_generation,True,1.0,1.0
Qwen-0.6B,xgrammar,json_complex_api,json_generation,True,1.0,1.0
Qwen-0.6B,xgrammar,schema_weather,schema_adherence,True,1.0,1.0
Qwen-0.6B,xgrammar,schema_database_record,schema_adherence,True,1.0,1.0
Qwen-0.6B,xgrammar,schema_config_file,schema_adherence,True,1.0,1.0
Qwen-0.6B,xgrammar,funcall_get_weather,function_calling,True,1.0,1.0
Qwen-0.6B,xgrammar,funcall_search_multi,function_calling,True,0.2,0.2
Qwen-0.6B,xgrammar,funcall_database_query,function_calling,True,1.0,1.0
Qwen-0.6B,xgrammar,extract_business_card,extraction,True,1.0,0.9
Qwen-0.6B,xgrammar,extract_receipt,extraction,True,1.0,1.0
Qwen-0.6B,xgrammar,extract_api_log,extraction,True,1.0,1.0
Qwen-4B,native,json_simple_person,json_generation,True,1.0,1.0
Qwen-4B,native,json_simple_product,json_generation,True,1.0,1.0
Qwen-4B,native,json_nested_address,json_generation,True,1.0,1.0
Qwen-4B,native,json_array_orders,json_generation,True,1.0,1.0
Qwen-4B,native,json_complex_api,json_generation,True,1.0,1.0
Qwen-4B,native,schema_weather,schema_adherence,True,1.0,1.0
Qwen-4B,native,schema_database_record,schema_adherence,True,1.0,1.0
Qwen-4B,native,schema_config_file,schema_adherence,True,1.0,1.0
Qwen-4B,native,funcall_get_weather,function_calling,True,1.0,1.0
Qwen-4B,native,funcall_search_multi,function_calling,True,1.0,1.0
Qwen-4B,native,funcall_database_query,function_calling,True,1.0,1.0
Qwen-4B,native,extract_business_card,extraction,True,1.0,0.9
Qwen-4B,native,extract_receipt,extraction,True,1.0,1.0
Qwen-4B,native,extract_api_log,extraction,True,1.0,1.0
Qwen-4B,outlines,json_simple_person,json_generation,True,1.0,1.0
Qwen-4B,outlines,json_simple_product,json_generation,True,1.0,1.0
