model,decoder,task_id,category,schema_valid,content_accuracy,function_call_score,function_correct,params_present
Llama-1B,native,json_simple_person,json_generation,True,1.0,0.0,False,False
Llama-1B,native,json_simple_product,json_generation,True,1.0,0.0,False,False
Llama-1B,native,json_nested_address,json_generation,True,1.0,0.0,False,False
Llama-1B,native,json_array_orders,json_generation,True,1.0,0.0,False,False
Llama-1B,native,json_complex_api,json_generation,False,0.0,0.0,False,False
Llama-1B,native,schema_weather,schema_adherence,True,1.0,0.0,False,False
Llama-1B,native,schema_database_record,schema_adherence,False,0.0,0.0,False,False
Llama-1B,native,schema_config_file,schema_adherence,True,1.0,0.0,False,False
Llama-1B,native,funcall_get_weather,function_calling,True,1.0,1.0,True,True
Llama-1B,native,funcall_search_multi,function_calling,False,0.0,0.0,False,False
Llama-1B,native,funcall_database_query,function_calling,True,1.0,1.0,True,True
Llama-1B,native,extract_business_card,extraction,True,0.7,0.0,False,False
Llama-1B,native,extract_receipt,extraction,True,1.0,0.0,False,False
Llama-1B,native,extract_api_log,extraction,True,1.0,0.0,False,False
Llama-1B,outlines,json_simple_person,json_generation,True,1.0,0.0,False,False
Llama-1B,outlines,json_simple_product,json_generation,True,1.0,0.0,False,False
Llama-1B,outlines,json_nested_address,json_generation,True,1.0,0.0,False,False
Llama-1B,outlines,json_array_orders,json_generation,True,1.0,0.0,False,False
Llama-1B,outlines,json_complex_api,json_generation,True,1.0,0.0,False,False
Llama-1B,outlines,schema_weather,schema_adherence,True,1.0,0.0,False,False
Llama-1B,outlines,schema_database_record,schema_adherence,True,1.0,0.0,False,False
Llama-1B,outlines,schema_config_file,schema_adherence,True,1.0,0.0,False,False
Llama-1B,outlines,funcall_get_weather,function_calling,True,1.0,1.0,True,True
Llama-1B,outlines,funcall_search_multi,function_calling,True,0.2,0.2,False,False
Llama-1B,outlines,funcall_database_query,function_calling,True,1.0,1.0,True,True
Llama-1B,outlines,extract_business_card,extraction,True,0.7,0.0,False,False
Llama-1B,outlines,extract_receipt,extraction,True,1.0,0.0,False,False
Llama-1B,outlines,extract_api_log,extraction,True,1.0,0.0,False,False
Llama-1B,xgrammar,json_simple_person,json_generation,True,1.0,0.0,False,False
Llama-1B,xgrammar,json_simple_product,json_generation,True,1.0,0.0,False,False
Llama-1B,xgrammar,json_nested_address,json_generation,True,1.0,0.0,False,False
Llama-1B,xgrammar,json_array_orders,json_generation,True,1.0,0.0,False,False
Llama-1B,xgrammar,json_complex_api,json_generation,True,1.0,0.0,False,False
Llama-1B,xgrammar,schema_weather,schema_adherence,True,1.0,0.0,False,False
Llama-1B,xgrammar,schema_database_record,schema_adherence,True,1.0,0.0,False,False
Llama-1B,xgrammar,schema_config_file,schema_adherence,True,1.0,0.0,False,False
