run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,2059.9,35,17.0,
1,json_simple_product,json_generation,easy,True,True,1576.8,33,20.9,
1,json_nested_address,json_generation,medium,True,True,3427.9,72,21.0,
1,json_array_orders,json_generation,medium,True,True,5535.7,116,21.0,
1,json_complex_api,json_generation,hard,True,True,9959.8,209,21.0,
1,schema_weather,schema_adherence,easy,True,True,1912.6,40,20.9,
1,schema_database_record,schema_adherence,medium,True,True,3142.1,66,21.0,
1,schema_config_file,schema_adherence,hard,True,True,6489.0,136,21.0,
1,funcall_get_weather,function_calling,easy,True,True,910.4,19,20.9,
1,funcall_search_multi,function_calling,medium,True,True,3291.0,69,21.0,
1,funcall_database_query,function_calling,hard,True,True,2150.0,45,20.9,
1,extract_business_card,extraction,easy,True,True,2633.5,55,20.9,
1,extract_receipt,extraction,medium,True,True,6629.3,139,21.0,
1,extract_api_log,extraction,hard,True,True,6625.3,139,21.0,
