model,phase,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
google/gemma-4-E2B-it,2,0.0,1,json_simple_person,json_generation,easy,True,True,2866.4,35,12.2,
google/gemma-4-E2B-it,2,0.0,2,json_simple_person,json_generation,easy,True,True,2102.9,35,16.6,
google/gemma-4-E2B-it,2,0.0,3,json_simple_person,json_generation,easy,True,True,2105.2,35,16.6,
google/gemma-4-E2B-it,2,0.0,1,json_simple_product,json_generation,easy,True,True,1983.5,33,16.6,
google/gemma-4-E2B-it,2,0.0,2,json_simple_product,json_generation,easy,True,True,1987.0,33,16.6,
google/gemma-4-E2B-it,2,0.0,3,json_simple_product,json_generation,easy,True,True,1981.8,33,16.7,
google/gemma-4-E2B-it,2,0.0,1,json_nested_address,json_generation,medium,True,True,4332.3,72,16.6,
google/gemma-4-E2B-it,2,0.0,2,json_nested_address,json_generation,medium,True,True,4333.1,72,16.6,
google/gemma-4-E2B-it,2,0.0,3,json_nested_address,json_generation,medium,True,True,4338.4,72,16.6,
google/gemma-4-E2B-it,2,0.0,1,json_array_orders,json_generation,medium,True,True,6976.4,116,16.6,
google/gemma-4-E2B-it,2,0.0,2,json_array_orders,json_generation,medium,True,True,6988.5,116,16.6,
google/gemma-4-E2B-it,2,0.0,3,json_array_orders,json_generation,medium,True,True,6970.1,116,16.6,
google/gemma-4-E2B-it,2,0.0,1,json_complex_api,json_generation,hard,True,True,12553.0,209,16.6,
google/gemma-4-E2B-it,2,0.0,2,json_complex_api,json_generation,hard,True,True,12536.2,209,16.7,
google/gemma-4-E2B-it,2,0.0,3,json_complex_api,json_generation,hard,True,True,12621.9,209,16.6,
google/gemma-4-E2B-it,2,0.0,1,schema_weather,schema_adherence,easy,True,True,2404.3,40,16.6,
google/gemma-4-E2B-it,2,0.0,2,schema_weather,schema_adherence,easy,True,True,2406.5,40,16.6,
google/gemma-4-E2B-it,2,0.0,3,schema_weather,schema_adherence,easy,True,True,2404.5,40,16.6,
google/gemma-4-E2B-it,2,0.0,1,schema_database_record,schema_adherence,medium,True,True,3964.3,66,16.6,
google/gemma-4-E2B-it,2,0.0,2,schema_database_record,schema_adherence,medium,True,True,3964.5,66,16.6,
google/gemma-4-E2B-it,2,0.0,3,schema_database_record,schema_adherence,medium,True,True,3966.4,66,16.6,
google/gemma-4-E2B-it,2,0.0,1,schema_config_file,schema_adherence,hard,True,True,8168.8,136,16.6,
google/gemma-4-E2B-it,2,0.0,2,schema_config_file,schema_adherence,hard,True,True,8186.6,136,16.6,
google/gemma-4-E2B-it,2,0.0,3,schema_config_file,schema_adherence,hard,True,True,8172.1,136,16.6,
google/gemma-4-E2B-it,2,0.0,1,funcall_get_weather,function_calling,easy,True,True,1147.0,19,16.6,
google/gemma-4-E2B-it,2,0.0,2,funcall_get_weather,function_calling,easy,True,True,1144.9,19,16.6,
google/gemma-4-E2B-it,2,0.0,3,funcall_get_weather,function_calling,easy,True,True,1143.7,19,16.6,
google/gemma-4-E2B-it,2,0.0,1,funcall_search_multi,function_calling,medium,True,True,4146.4,69,16.6,
google/gemma-4-E2B-it,2,0.0,2,funcall_search_multi,function_calling,medium,True,True,4148.1,69,16.6,
google/gemma-4-E2B-it,2,0.0,3,funcall_search_multi,function_calling,medium,True,True,4147.8,69,16.6,
google/gemma-4-E2B-it,2,0.0,1,funcall_database_query,function_calling,hard,True,True,2713.2,45,16.6,
google/gemma-4-E2B-it,2,0.0,2,funcall_database_query,function_calling,hard,True,True,2706.3,45,16.6,
google/gemma-4-E2B-it,2,0.0,3,funcall_database_query,function_calling,hard,True,True,2707.9,45,16.6,
google/gemma-4-E2B-it,2,0.0,1,extract_business_card,extraction,easy,True,True,3309.5,55,16.6,
google/gemma-4-E2B-it,2,0.0,2,extract_business_card,extraction,easy,True,True,3309.3,55,16.6,
google/gemma-4-E2B-it,2,0.0,3,extract_business_card,extraction,easy,True,True,3309.3,55,16.6,
google/gemma-4-E2B-it,2,0.0,1,extract_receipt,extraction,medium,True,True,8357.2,139,16.6,
google/gemma-4-E2B-it,2,0.0,2,extract_receipt,extraction,medium,True,True,8336.2,139,16.7,
google/gemma-4-E2B-it,2,0.0,3,extract_receipt,extraction,medium,True,True,8333.7,139,16.7,
google/gemma-4-E2B-it,2,0.0,1,extract_api_log,extraction,hard,True,True,8339.5,139,16.7,
google/gemma-4-E2B-it,2,0.0,2,extract_api_log,extraction,hard,True,True,8361.5,139,16.6,
google/gemma-4-E2B-it,2,0.0,3,extract_api_log,extraction,hard,True,True,8348.9,139,16.6,
google/gemma-4-E2B-it,2,0.3,1,json_simple_person,json_generation,easy,True,True,2148.6,35,16.3,
google/gemma-4-E2B-it,2,0.3,2,json_simple_person,json_generation,easy,True,True,2116.2,35,16.5,
google/gemma-4-E2B-it,2,0.3,3,json_simple_person,json_generation,easy,True,True,2112.4,35,16.6,
google/gemma-4-E2B-it,2,0.3,1,json_simple_product,json_generation,easy,True,True,1994.8,33,16.5,
google/gemma-4-E2B-it,2,0.3,2,json_simple_product,json_generation,easy,True,True,1989.8,33,16.6,
google/gemma-4-E2B-it,2,0.3,3,json_simple_product,json_generation,easy,True,True,1988.5,33,16.6,
google/gemma-4-E2B-it,2,0.3,1,json_nested_address,json_generation,medium,True,True,3072.5,51,16.6,
google/gemma-4-E2B-it,2,0.3,2,json_nested_address,json_generation,medium,True,True,3079.4,51,16.6,
google/gemma-4-E2B-it,2,0.3,3,json_nested_address,json_generation,medium,True,True,3076.2,51,16.6,
google/gemma-4-E2B-it,2,0.3,1,json_array_orders,json_generation,medium,True,True,6995.7,116,16.6,
google/gemma-4-E2B-it,2,0.3,2,json_array_orders,json_generation,medium,True,True,6999.3,116,16.6,
google/gemma-4-E2B-it,2,0.3,3,json_array_orders,json_generation,medium,True,True,6991.2,116,16.6,
google/gemma-4-E2B-it,2,0.3,1,json_complex_api,json_generation,hard,True,True,12975.3,209,16.1,
google/gemma-4-E2B-it,2,0.3,2,json_complex_api,json_generation,hard,True,True,12580.7,209,16.6,
google/gemma-4-E2B-it,2,0.3,3,json_complex_api,json_generation,hard,True,True,12603.7,209,16.6,
google/gemma-4-E2B-it,2,0.3,1,schema_weather,schema_adherence,easy,True,True,2425.0,40,16.5,
google/gemma-4-E2B-it,2,0.3,2,schema_weather,schema_adherence,easy,True,True,2414.4,40,16.6,
google/gemma-4-E2B-it,2,0.3,3,schema_weather,schema_adherence,easy,True,True,2415.7,40,16.6,
google/gemma-4-E2B-it,2,0.3,1,schema_database_record,schema_adherence,medium,True,True,4098.0,68,16.6,
google/gemma-4-E2B-it,2,0.3,2,schema_database_record,schema_adherence,medium,True,True,3796.8,63,16.6,
google/gemma-4-E2B-it,2,0.3,3,schema_database_record,schema_adherence,medium,True,True,3792.2,63,16.6,
google/gemma-4-E2B-it,2,0.3,1,schema_config_file,schema_adherence,hard,True,False,6201.5,103,16.6,"Schema validation: 'OPTIONS' is not one of ['GET', 'POST', 'PUT', 'DELETE', 'PATCH']

Failed validating 'enum' in schem"
google/gemma-4-E2B-it,2,0.3,2,schema_config_file,schema_adherence,hard,True,True,8180.2,136,16.6,
google/gemma-4-E2B-it,2,0.3,3,schema_config_file,schema_adherence,hard,True,True,8179.4,136,16.6,
google/gemma-4-E2B-it,2,0.3,1,funcall_get_weather,function_calling,easy,True,True,1148.7,19,16.5,
google/gemma-4-E2B-it,2,0.3,2,funcall_get_weather,function_calling,easy,True,True,1148.9,19,16.5,
google/gemma-4-E2B-it,2,0.3,3,funcall_get_weather,function_calling,easy,True,True,1147.7,19,16.6,
google/gemma-4-E2B-it,2,0.3,1,funcall_search_multi,function_calling,medium,True,True,4929.4,82,16.6,
google/gemma-4-E2B-it,2,0.3,2,funcall_search_multi,function_calling,medium,True,True,4149.4,69,16.6,
google/gemma-4-E2B-it,2,0.3,3,funcall_search_multi,function_calling,medium,True,True,4154.4,69,16.6,
google/gemma-4-E2B-it,2,0.3,1,funcall_database_query,function_calling,hard,True,True,2466.9,41,16.6,
google/gemma-4-E2B-it,2,0.3,2,funcall_database_query,function_calling,hard,True,True,2702.9,45,16.6,
google/gemma-4-E2B-it,2,0.3,3,funcall_database_query,function_calling,hard,True,True,2467.2,41,16.6,
google/gemma-4-E2B-it,2,0.3,1,extract_business_card,extraction,easy,True,True,3316.7,55,16.6,
google/gemma-4-E2B-it,2,0.3,2,extract_business_card,extraction,easy,True,True,3310.8,55,16.6,
google/gemma-4-E2B-it,2,0.3,3,extract_business_card,extraction,easy,True,True,3313.8,55,16.6,
google/gemma-4-E2B-it,2,0.3,1,extract_receipt,extraction,medium,True,True,8445.0,139,16.5,
google/gemma-4-E2B-it,2,0.3,2,extract_receipt,extraction,medium,True,True,8356.6,139,16.6,
google/gemma-4-E2B-it,2,0.3,3,extract_receipt,extraction,medium,True,True,8352.6,139,16.6,
google/gemma-4-E2B-it,2,0.3,1,extract_api_log,extraction,hard,True,True,8366.7,139,16.6,
google/gemma-4-E2B-it,2,0.3,2,extract_api_log,extraction,hard,True,True,8369.9,139,16.6,
google/gemma-4-E2B-it,2,0.3,3,extract_api_log,extraction,hard,True,True,8382.1,139,16.6,
google/gemma-4-E2B-it,2,0.7,1,json_simple_person,json_generation,easy,True,True,2116.1,35,16.5,
google/gemma-4-E2B-it,2,0.7,2,json_simple_person,json_generation,easy,True,True,2770.2,46,16.6,
google/gemma-4-E2B-it,2,0.7,3,json_simple_person,json_generation,easy,True,True,2115.1,35,16.5,
google/gemma-4-E2B-it,2,0.7,1,json_simple_product,json_generation,easy,True,True,1988.1,33,16.6,
google/gemma-4-E2B-it,2,0.7,2,json_simple_product,json_generation,easy,True,True,2050.6,34,16.6,
google/gemma-4-E2B-it,2,0.7,3,json_simple_product,json_generation,easy,True,True,2648.4,44,16.6,
google/gemma-4-E2B-it,2,0.7,1,json_nested_address,json_generation,medium,True,True,3081.2,51,16.6,
google/gemma-4-E2B-it,2,0.7,2,json_nested_address,json_generation,medium,True,True,3081.0,51,16.6,
google/gemma-4-E2B-it,2,0.7,3,json_nested_address,json_generation,medium,True,True,4338.0,72,16.6,
google/gemma-4-E2B-it,2,0.7,1,json_array_orders,json_generation,medium,True,True,6992.5,116,16.6,
