run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
1,json_simple_person,json_generation,easy,True,True,1925.3,43,22.3,
1,json_simple_product,json_generation,easy,True,True,1614.7,45,27.9,
1,json_nested_address,json_generation,medium,True,True,2440.8,68,27.9,
1,json_array_orders,json_generation,medium,True,True,5668.1,159,28.1,
1,json_complex_api,json_generation,hard,True,True,6568.8,184,28.0,
1,schema_weather,schema_adherence,easy,True,True,1876.6,52,27.7,
1,schema_database_record,schema_adherence,medium,True,True,2731.4,76,27.8,
1,schema_config_file,schema_adherence,hard,True,True,5283.5,147,27.8,
1,funcall_get_weather,function_calling,easy,True,True,1133.5,31,27.3,
1,funcall_search_multi,function_calling,medium,True,True,4249.0,118,27.8,
1,funcall_database_query,function_calling,hard,True,True,2468.4,68,27.5,
1,extract_business_card,extraction,easy,True,True,2443.1,68,27.8,
1,extract_receipt,extraction,medium,True,True,6536.1,183,28.0,
1,extract_api_log,extraction,hard,True,True,5292.4,148,28.0,
