model,phase,decoder,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,compile_ms,tokens_generated,tokens_per_sec,error
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,json_simple_person,json_generation,easy,True,True,3040.8,0.0,33,10.9,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,json_simple_product,json_generation,easy,True,True,2232.0,0.0,34,15.2,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,json_nested_address,json_generation,medium,True,True,3361.8,0.0,51,15.2,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,json_array_orders,json_generation,medium,True,True,6070.4,0.0,93,15.3,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,json_complex_api,json_generation,hard,True,True,11861.5,0.0,179,15.1,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,schema_weather,schema_adherence,easy,True,True,2021.7,0.0,31,15.3,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,schema_database_record,schema_adherence,medium,True,True,3072.8,0.0,59,19.2,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,schema_config_file,schema_adherence,hard,True,True,8187.2,0.0,165,20.2,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,funcall_get_weather,function_calling,easy,True,True,849.8,0.0,18,21.2,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,funcall_search_multi,function_calling,medium,True,True,4213.9,0.0,87,20.6,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,funcall_database_query,function_calling,hard,True,True,2235.0,0.0,47,21.0,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,extract_business_card,extraction,easy,True,True,3004.5,0.0,61,20.3,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,extract_receipt,extraction,medium,True,True,7657.0,0.0,177,23.1,
Qwen/Qwen3-4B-Instruct-2507,3,native,0.0,1,extract_api_log,extraction,hard,True,True,6933.4,0.0,143,20.6,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,json_simple_person,json_generation,easy,True,True,6767.0,1247.4,34,5.0,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,json_simple_product,json_generation,easy,True,True,1726.8,943.0,33,19.1,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,json_nested_address,json_generation,medium,True,True,2703.3,1370.9,50,18.5,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,json_array_orders,json_generation,medium,True,True,4949.8,2020.0,92,18.6,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,json_complex_api,json_generation,hard,True,True,7192.0,2052.8,136,18.9,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,schema_weather,schema_adherence,easy,True,True,1563.1,1044.9,29,18.6,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,schema_database_record,schema_adherence,medium,True,True,3074.4,1584.8,58,18.9,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,schema_config_file,schema_adherence,hard,True,True,4884.3,2037.8,100,20.5,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,funcall_get_weather,function_calling,easy,True,True,944.5,4978.2,17,18.0,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,funcall_search_multi,function_calling,medium,True,True,4999.6,10235.0,95,19.0,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,funcall_database_query,function_calling,hard,True,True,2540.9,5476.1,46,18.1,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,extract_business_card,extraction,easy,True,True,2879.0,908.8,53,18.4,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,extract_receipt,extraction,medium,True,True,7229.2,1600.0,137,19.0,
Qwen/Qwen3-4B-Instruct-2507,3,outlines,0.0,1,extract_api_log,extraction,hard,True,True,6800.0,1768.4,128,18.8,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,json_simple_person,json_generation,easy,True,True,1886.9,40.7,33,17.5,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,json_simple_product,json_generation,easy,True,True,1519.6,2.3,34,22.4,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,json_nested_address,json_generation,medium,True,True,2274.8,2.5,51,22.4,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,json_array_orders,json_generation,medium,True,True,4442.8,2.6,93,20.9,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,json_complex_api,json_generation,hard,True,True,9100.1,3.4,179,19.7,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,schema_weather,schema_adherence,easy,True,True,1622.2,2.8,31,19.1,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,schema_database_record,schema_adherence,medium,True,True,3607.6,3.0,59,16.4,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,schema_config_file,schema_adherence,hard,True,True,8391.5,5.6,165,19.7,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,funcall_get_weather,function_calling,easy,True,True,968.7,2.8,18,18.6,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,funcall_search_multi,function_calling,medium,True,True,4622.3,2.4,87,18.8,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,funcall_database_query,function_calling,hard,True,True,2382.7,0.1,47,19.7,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,extract_business_card,extraction,easy,True,True,3130.8,2.4,61,19.5,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,extract_receipt,extraction,medium,True,True,9115.7,2.7,177,19.4,
Qwen/Qwen3-4B-Instruct-2507,3,xgrammar,0.0,1,extract_api_log,extraction,hard,True,True,7176.8,3.0,143,19.9,
