model,phase,decoder,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,compile_ms,tokens_generated,tokens_per_sec,error
microsoft/Phi-4-mini-instruct,3,native,0.0,1,json_simple_person,json_generation,easy,True,True,1688.7,0.0,42,24.9,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,json_simple_product,json_generation,easy,True,True,1155.3,0.0,40,34.6,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,json_nested_address,json_generation,medium,True,True,1855.1,0.0,63,34.0,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,json_array_orders,json_generation,medium,True,True,4270.7,0.0,140,32.8,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,json_complex_api,json_generation,hard,True,True,4993.6,0.0,179,35.8,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,schema_weather,schema_adherence,easy,True,True,1476.1,0.0,51,34.5,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,schema_database_record,schema_adherence,medium,True,True,2151.0,0.0,76,35.3,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,schema_config_file,schema_adherence,hard,True,True,4125.2,0.0,147,35.6,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,funcall_get_weather,function_calling,easy,True,True,848.3,0.0,30,35.4,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,funcall_search_multi,function_calling,medium,True,True,2075.1,0.0,74,35.7,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,funcall_database_query,function_calling,hard,True,True,2121.5,0.0,76,35.8,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,extract_business_card,extraction,easy,True,True,1642.8,0.0,59,35.9,
microsoft/Phi-4-mini-instruct,3,native,0.0,1,extract_receipt,extraction,medium,True,False,4618.1,0.0,164,35.5,"Schema validation: '$20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'t"
microsoft/Phi-4-mini-instruct,3,native,0.0,1,extract_api_log,extraction,hard,True,True,3656.8,0.0,130,35.6,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,json_simple_person,json_generation,easy,True,True,2717.1,1568.4,31,11.4,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,json_simple_product,json_generation,easy,True,True,894.8,1563.8,29,32.4,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,json_nested_address,json_generation,medium,True,True,1358.3,2034.3,45,33.1,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,json_array_orders,json_generation,medium,True,True,3492.2,3066.5,115,32.9,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,json_complex_api,json_generation,hard,True,True,3189.3,3856.3,101,31.7,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,schema_weather,schema_adherence,easy,True,True,833.2,1920.9,26,31.2,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,schema_database_record,schema_adherence,medium,True,True,1648.0,1952.2,55,33.4,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,schema_config_file,schema_adherence,hard,True,True,3319.0,3337.7,112,33.7,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,funcall_get_weather,function_calling,easy,True,True,794.6,10972.0,24,30.2,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,funcall_search_multi,function_calling,medium,True,True,2337.3,19540.0,76,32.5,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,funcall_database_query,function_calling,hard,True,True,1823.9,11497.0,60,32.9,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,extract_business_card,extraction,easy,True,True,1425.5,1390.8,47,33.0,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,extract_receipt,extraction,medium,True,True,3864.6,2533.8,127,32.9,
microsoft/Phi-4-mini-instruct,3,outlines,0.0,1,extract_api_log,extraction,hard,True,True,3449.4,2854.3,111,32.2,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,json_simple_person,json_generation,easy,True,True,1467.4,62.1,38,25.9,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,json_simple_product,json_generation,easy,True,True,1088.1,3.2,37,34.0,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,json_nested_address,json_generation,medium,True,True,1733.4,3.4,58,33.5,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,json_array_orders,json_generation,medium,True,True,4220.0,3.8,140,33.2,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,json_complex_api,json_generation,hard,True,True,5077.3,5.9,176,34.7,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,schema_weather,schema_adherence,easy,True,True,1286.6,5.5,43,33.4,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,schema_database_record,schema_adherence,medium,True,True,2160.4,5.0,72,33.3,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,schema_config_file,schema_adherence,hard,True,True,4217.0,5.9,143,33.9,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,funcall_get_weather,function_calling,easy,True,True,731.3,3.7,25,34.2,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,funcall_search_multi,function_calling,medium,True,True,2170.2,3.7,74,34.1,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,funcall_database_query,function_calling,hard,True,True,2116.9,0.1,72,34.0,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,extract_business_card,extraction,easy,True,True,1604.5,3.4,55,34.3,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,extract_receipt,extraction,medium,True,True,5166.5,4.6,160,31.0,
microsoft/Phi-4-mini-instruct,3,xgrammar,0.0,1,extract_api_log,extraction,hard,True,True,3708.8,6.9,126,34.0,
