model,phase,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,json_simple_person,json_generation,easy,True,True,2140.8,33,15.4,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,json_simple_person,json_generation,easy,True,True,1347.4,33,24.5,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,json_simple_person,json_generation,easy,True,True,1344.5,33,24.5,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,json_simple_product,json_generation,easy,True,True,1380.3,34,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,json_simple_product,json_generation,easy,True,True,1383.8,34,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,json_simple_product,json_generation,easy,True,True,1382.7,34,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,json_nested_address,json_generation,medium,True,True,2082.1,51,24.5,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,json_nested_address,json_generation,medium,True,True,2065.7,51,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,json_nested_address,json_generation,medium,True,True,2052.1,51,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,json_array_orders,json_generation,medium,True,True,3741.3,93,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,json_array_orders,json_generation,medium,True,True,3753.7,93,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,json_array_orders,json_generation,medium,True,True,3748.1,93,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,json_complex_api,json_generation,hard,True,True,7197.4,179,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,json_complex_api,json_generation,hard,True,True,7209.8,179,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,json_complex_api,json_generation,hard,True,True,7207.5,179,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,schema_weather,schema_adherence,easy,True,True,1259.8,31,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,schema_weather,schema_adherence,easy,True,True,1251.4,31,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,schema_weather,schema_adherence,easy,True,True,1261.8,31,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,schema_database_record,schema_adherence,medium,True,True,2382.1,59,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,schema_database_record,schema_adherence,medium,True,True,2374.6,59,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,schema_database_record,schema_adherence,medium,True,True,2377.5,59,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,schema_config_file,schema_adherence,hard,True,True,6646.4,165,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,schema_config_file,schema_adherence,hard,True,True,6640.8,165,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,schema_config_file,schema_adherence,hard,True,True,6665.6,165,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,funcall_get_weather,function_calling,easy,True,True,732.1,18,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,funcall_get_weather,function_calling,easy,True,True,730.6,18,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,funcall_get_weather,function_calling,easy,True,True,727.9,18,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,funcall_search_multi,function_calling,medium,True,True,3506.5,87,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,funcall_search_multi,function_calling,medium,True,True,3506.0,87,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,funcall_search_multi,function_calling,medium,True,True,3507.3,87,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,funcall_database_query,function_calling,hard,True,True,1895.1,47,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,funcall_database_query,function_calling,hard,True,True,1898.6,47,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,funcall_database_query,function_calling,hard,True,True,1892.8,47,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,extract_business_card,extraction,easy,True,True,2462.0,61,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,extract_business_card,extraction,easy,True,True,2458.9,61,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,extract_business_card,extraction,easy,True,True,2462.8,61,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,extract_receipt,extraction,medium,True,True,7133.6,177,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,extract_receipt,extraction,medium,True,True,7131.7,177,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,extract_receipt,extraction,medium,True,True,7117.3,177,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,1,extract_api_log,extraction,hard,True,True,5765.4,143,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,2,extract_api_log,extraction,hard,True,True,5772.5,143,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.0,3,extract_api_log,extraction,hard,True,True,5766.7,143,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,json_simple_person,json_generation,easy,True,True,1416.6,33,23.3,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,json_simple_person,json_generation,easy,True,True,1333.7,33,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,json_simple_person,json_generation,easy,True,True,1330.8,33,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,json_simple_product,json_generation,easy,True,True,1365.0,34,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,json_simple_product,json_generation,easy,True,True,1367.5,34,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,json_simple_product,json_generation,easy,True,True,1366.8,34,24.9,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,json_nested_address,json_generation,medium,True,True,2055.3,51,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,json_nested_address,json_generation,medium,True,True,2544.2,63,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,json_nested_address,json_generation,medium,True,True,2546.9,63,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,json_array_orders,json_generation,medium,True,True,3765.0,93,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,json_array_orders,json_generation,medium,True,True,3756.8,93,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,json_array_orders,json_generation,medium,True,True,3760.5,93,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,json_complex_api,json_generation,hard,True,True,7230.1,179,24.8,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,json_complex_api,json_generation,hard,True,True,7255.8,179,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,json_complex_api,json_generation,hard,True,True,7246.7,179,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,schema_weather,schema_adherence,easy,True,True,1262.2,31,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,schema_weather,schema_adherence,easy,True,True,1258.0,31,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,schema_weather,schema_adherence,easy,True,True,1260.8,31,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,schema_database_record,schema_adherence,medium,True,True,2232.3,55,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,schema_database_record,schema_adherence,medium,True,True,2237.1,55,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,3,schema_database_record,schema_adherence,medium,True,True,2395.0,59,24.6,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,1,schema_config_file,schema_adherence,hard,True,True,6669.7,165,24.7,
Qwen/Qwen3-4B-Instruct-2507,2,0.3,2,schema_config_file,schema_adherence,hard,True,True,6675.1,165,24.7,
