model,phase,temperature,run,task_id,category,difficulty,json_valid,schema_valid,latency_ms,tokens_generated,tokens_per_sec,error
Qwen/Qwen3-0.6B,2,0.0,1,json_simple_person,json_generation,easy,True,True,1979.9,46,23.2,
Qwen/Qwen3-0.6B,2,0.0,2,json_simple_person,json_generation,easy,True,True,1391.5,46,33.1,
Qwen/Qwen3-0.6B,2,0.0,3,json_simple_person,json_generation,easy,True,True,1390.4,46,33.1,
Qwen/Qwen3-0.6B,2,0.0,1,json_simple_product,json_generation,easy,True,True,1424.2,47,33.0,
Qwen/Qwen3-0.6B,2,0.0,2,json_simple_product,json_generation,easy,True,True,1431.6,47,32.8,
Qwen/Qwen3-0.6B,2,0.0,3,json_simple_product,json_generation,easy,True,True,1470.7,47,32.0,
Qwen/Qwen3-0.6B,2,0.0,1,json_nested_address,json_generation,medium,True,True,2197.0,71,32.3,
Qwen/Qwen3-0.6B,2,0.0,2,json_nested_address,json_generation,medium,True,True,2180.9,71,32.6,
Qwen/Qwen3-0.6B,2,0.0,3,json_nested_address,json_generation,medium,True,True,2139.5,71,33.2,
Qwen/Qwen3-0.6B,2,0.0,1,json_array_orders,json_generation,medium,True,True,4762.8,154,32.3,
Qwen/Qwen3-0.6B,2,0.0,2,json_array_orders,json_generation,medium,True,True,4577.0,154,33.6,
Qwen/Qwen3-0.6B,2,0.0,3,json_array_orders,json_generation,medium,True,True,4577.7,154,33.6,
Qwen/Qwen3-0.6B,2,0.0,1,json_complex_api,json_generation,hard,True,True,5663.6,187,33.0,
Qwen/Qwen3-0.6B,2,0.0,2,json_complex_api,json_generation,hard,True,True,5762.2,187,32.5,
Qwen/Qwen3-0.6B,2,0.0,3,json_complex_api,json_generation,hard,True,True,5765.5,187,32.4,
Qwen/Qwen3-0.6B,2,0.0,1,schema_weather,schema_adherence,easy,True,True,1582.3,51,32.2,
Qwen/Qwen3-0.6B,2,0.0,2,schema_weather,schema_adherence,easy,True,True,1576.7,51,32.3,
Qwen/Qwen3-0.6B,2,0.0,3,schema_weather,schema_adherence,easy,True,True,1576.6,51,32.3,
Qwen/Qwen3-0.6B,2,0.0,1,schema_database_record,schema_adherence,medium,True,True,2442.5,81,33.2,
Qwen/Qwen3-0.6B,2,0.0,2,schema_database_record,schema_adherence,medium,True,True,2418.9,81,33.5,
Qwen/Qwen3-0.6B,2,0.0,3,schema_database_record,schema_adherence,medium,True,True,2415.2,81,33.5,
Qwen/Qwen3-0.6B,2,0.0,1,schema_config_file,schema_adherence,hard,True,True,4471.6,150,33.5,
Qwen/Qwen3-0.6B,2,0.0,2,schema_config_file,schema_adherence,hard,True,True,4468.1,150,33.6,
Qwen/Qwen3-0.6B,2,0.0,3,schema_config_file,schema_adherence,hard,True,True,4466.2,150,33.6,
Qwen/Qwen3-0.6B,2,0.0,1,funcall_get_weather,function_calling,easy,True,True,778.8,26,33.4,
Qwen/Qwen3-0.6B,2,0.0,2,funcall_get_weather,function_calling,easy,True,True,779.3,26,33.4,
Qwen/Qwen3-0.6B,2,0.0,3,funcall_get_weather,function_calling,easy,True,True,779.4,26,33.4,
Qwen/Qwen3-0.6B,2,0.0,1,funcall_search_multi,function_calling,medium,True,True,1465.1,49,33.4,
Qwen/Qwen3-0.6B,2,0.0,2,funcall_search_multi,function_calling,medium,True,True,1465.8,49,33.4,
Qwen/Qwen3-0.6B,2,0.0,3,funcall_search_multi,function_calling,medium,True,True,1464.8,49,33.5,
Qwen/Qwen3-0.6B,2,0.0,1,funcall_database_query,function_calling,hard,True,True,1704.8,57,33.4,
Qwen/Qwen3-0.6B,2,0.0,2,funcall_database_query,function_calling,hard,True,True,1704.7,57,33.4,
Qwen/Qwen3-0.6B,2,0.0,3,funcall_database_query,function_calling,hard,True,True,1702.8,57,33.5,
Qwen/Qwen3-0.6B,2,0.0,1,extract_business_card,extraction,easy,True,True,2061.8,69,33.5,
Qwen/Qwen3-0.6B,2,0.0,2,extract_business_card,extraction,easy,True,True,2064.2,69,33.4,
Qwen/Qwen3-0.6B,2,0.0,3,extract_business_card,extraction,easy,True,True,2062.2,69,33.5,
Qwen/Qwen3-0.6B,2,0.0,1,extract_receipt,extraction,medium,True,False,5535.0,185,33.4,"Schema validation: '20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'ty"
Qwen/Qwen3-0.6B,2,0.0,2,extract_receipt,extraction,medium,True,False,5532.9,185,33.4,"Schema validation: '20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'ty"
Qwen/Qwen3-0.6B,2,0.0,3,extract_receipt,extraction,medium,True,False,5535.9,185,33.4,"Schema validation: '20.49' is not of type 'number'

Failed validating 'type' in schema['properties']['total']:
    {'ty"
Qwen/Qwen3-0.6B,2,0.0,1,extract_api_log,extraction,hard,True,True,4536.5,151,33.3,
Qwen/Qwen3-0.6B,2,0.0,2,extract_api_log,extraction,hard,True,True,4518.3,151,33.4,
Qwen/Qwen3-0.6B,2,0.0,3,extract_api_log,extraction,hard,True,True,4518.5,151,33.4,
Qwen/Qwen3-0.6B,2,0.3,1,json_simple_person,json_generation,easy,True,True,1280.8,40,31.2,
Qwen/Qwen3-0.6B,2,0.3,2,json_simple_person,json_generation,easy,True,True,1377.3,46,33.4,
Qwen/Qwen3-0.6B,2,0.3,3,json_simple_person,json_generation,easy,True,True,1378.0,46,33.4,
Qwen/Qwen3-0.6B,2,0.3,1,json_simple_product,json_generation,easy,True,True,1405.5,47,33.4,
Qwen/Qwen3-0.6B,2,0.3,2,json_simple_product,json_generation,easy,True,True,1437.5,47,32.7,
Qwen/Qwen3-0.6B,2,0.3,3,json_simple_product,json_generation,easy,True,True,1451.8,47,32.4,
Qwen/Qwen3-0.6B,2,0.3,1,json_nested_address,json_generation,medium,True,True,2209.8,71,32.1,
Qwen/Qwen3-0.6B,2,0.3,2,json_nested_address,json_generation,medium,True,True,2217.5,71,32.0,
Qwen/Qwen3-0.6B,2,0.3,3,json_nested_address,json_generation,medium,True,True,2220.1,71,32.0,
Qwen/Qwen3-0.6B,2,0.3,1,json_array_orders,json_generation,medium,True,True,4559.1,146,32.0,
Qwen/Qwen3-0.6B,2,0.3,2,json_array_orders,json_generation,medium,True,True,4496.9,147,32.7,
Qwen/Qwen3-0.6B,2,0.3,3,json_array_orders,json_generation,medium,True,True,4311.6,143,33.2,
Qwen/Qwen3-0.6B,2,0.3,1,json_complex_api,json_generation,hard,True,False,5630.2,187,33.2,"Schema validation: '3' is not of type 'number'

Failed validating 'type' in schema['properties']['data']['properties']["
Qwen/Qwen3-0.6B,2,0.3,2,json_complex_api,json_generation,hard,True,True,5443.0,181,33.3,
Qwen/Qwen3-0.6B,2,0.3,3,json_complex_api,json_generation,hard,True,True,5655.9,187,33.1,
Qwen/Qwen3-0.6B,2,0.3,1,schema_weather,schema_adherence,easy,True,True,1535.9,51,33.2,
Qwen/Qwen3-0.6B,2,0.3,2,schema_weather,schema_adherence,easy,True,True,1508.2,50,33.2,
Qwen/Qwen3-0.6B,2,0.3,3,schema_weather,schema_adherence,easy,True,True,1538.3,51,33.2,
Qwen/Qwen3-0.6B,2,0.3,1,schema_database_record,schema_adherence,medium,True,True,2440.4,81,33.2,
